# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
79.430841740	0.326368133	3.696965643	3.683604965	13.994051780	13.944359927	67.845020265	67.604107568
80.391277075	0.330300278	3.697448415	3.683762373	13.995852698	13.944957187	67.853751350	67.607003168
81.351836070	0.334232428	3.697937048	3.683921673	13.997675129	13.945561583	67.862586743	67.609933358
82.312520225	0.338164573	3.698431540	3.684082865	13.999519075	13.946173115	67.871526438	67.612898143
83.273331018	0.342096718	3.698931895	3.684245950	14.001384536	13.946791781	67.880570443	67.615897518
84.234269935	0.346028863	3.699438120	3.684410930	14.003271512	13.947417582	67.889718748	67.618931485
85.195338460	0.349961010	3.699950213	3.684577800	14.005180003	13.948050518	67.898971365	67.622000040
86.156538085	0.353893158	3.700468178	3.684746563	14.007110010	13.948690587	67.908328300	67.625103183
87.117870298	0.357825303	3.700992020	3.684917223	14.009061534	13.949337791	67.917789545	67.628240910
88.079336578	0.361757448	3.701521740	3.685089773	14.011034575	13.949992128	67.927355110	67.631413225
89.040938428	0.365689593	3.702057340	3.685264220	14.013029135	13.950653599	67.937024998	67.634620125
90.002677325	0.369621743	3.702598825	3.685440560	14.015045214	13.951322204	67.946799215	67.637861610
90.964554760	0.373553888	3.703146198	3.685618793	14.017082813	13.951997942	67.956677770	67.641137680
91.926572228	0.377486033	3.703699458	3.685798923	14.019141935	13.952680813	67.966660665	67.644448325
92.888731215	0.381418178	3.704258615	3.685980953	14.021222580	13.953370817	67.976747910	67.647793555
93.851033213	0.385350328	3.704823668	3.686164873	14.023324751	13.954067954	67.986939515	67.651173368
94.813479718	0.389282473	3.705394618	3.686350690	14.025448449	13.954772224	67.997235483	67.654587763
95.776072213	0.393214618	3.705971470	3.686538410	14.027593676	13.955483627	68.007635830	67.658036740
