x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-81.420131,-47.007934,0.380685,94.015869,94.0169,-150.0,0.530257,,module,front,0.000893,0.000515,1,POINT Z (-81.42013088368557 -47.00793448315042 0.3806854475398425)
-40.710402,-23.504161,0.094629,47.008323,47.00845,-150.0,0.26553,,module,front,0.00011,6.4e-05,0,POINT Z (-40.71040171190098 -23.504161387183828 0.0946293658329322)
-122.129161,-23.503768,0.669913,124.37025,124.372668,-169.106605,0.699844,,module,front,0.002375,0.000457,0,POINT Z (-122.1291606631462 -23.50376792825684 0.6699131841061189)
-81.41944,-94.015072,0.669913,124.37025,124.372668,-130.893395,0.699844,,module,front,0.001583,0.001828,0,POINT Z (-81.41944044209747 -94.01507171302733 0.6699131841061188)
-162.834532,-94.012561,1.555594,188.025122,188.033799,-150.0,1.049979,,module,front,0.007515,0.004339,0,POINT Z (-162.83453210518033 -94.0125609442926 1.555593854749932)
-162.836015,-47.006709,1.257471,169.485098,169.491376,-163.897886,0.948926,,module,front,0.006032,0.001741,1,POINT Z (-162.83601514366944 -47.00670858848174 1.2574706144830565)
-203.537368,-117.512354,2.466103,235.024708,235.042249,-150.0,1.30182,,module,front,0.015191,0.008771,1,POINT Z (-203.53736754208254 -117.51235394056913 2.4661034634147687)
-122.127011,-117.516771,1.257471,169.485098,169.491376,-136.102114,0.948926,,module,front,0.004524,0.004353,1,POINT Z (-122.12701135775208 -117.51677147120444 1.2574706144830565)
0.0,94.015869,0.380685,94.015869,94.0169,90.0,0.530257,,module,front,0.0,-0.001031,1,POINT Z (0.0000000000000058 94.01586896630086 0.3806854475398425)
40.70972,117.51884,0.669913,124.37025,124.372668,70.893395,0.699844,,module,front,-0.000792,-0.002285,0,POINT Z (40.70972022104871 117.51883964128413 0.6699131841061182)
-40.70972,117.51884,0.669913,124.37025,124.372668,109.106605,0.699844,,module,front,0.000792,-0.002285,0,POINT Z (-40.70972022104873 117.51883964128413 0.6699131841061184)
-0.0,47.008323,0.094629,47.008323,47.00845,90.0,0.26553,,module,front,0.0,-0.000127,0,POINT Z (-0.0000000000000076 47.00832277436766 0.0946293658329322)
-81.420131,47.007934,0.380685,94.015869,94.0169,150.0,0.530257,,module,front,0.000893,-0.000515,0,POINT Z (-81.42013088368557 47.00793448315042 0.3806854475398425)
-81.41944,94.015072,0.669913,124.37025,124.372668,130.893395,0.699844,,module,front,0.001583,-0.001828,1,POINT Z (-81.41944044209745 94.01507171302733 0.6699131841061186)
-122.129161,23.503768,0.669913,124.37025,124.372668,169.106605,0.699844,,module,front,0.002375,-0.000457,1,POINT Z (-122.12916066314618 23.50376792825684 0.6699131841061188)
-40.710402,23.504161,0.094629,47.008323,47.00845,150.0,0.26553,,module,front,0.00011,-6.4e-05,1,POINT Z (-40.71040171190099 23.50416138718381 0.0946293658329322)
81.414144,235.02239,2.774643,248.724319,248.745336,70.893395,1.373872,,module,front,-0.006879,-0.019859,1,POINT Z (81.41414424438007 235.02239047667928 2.7746428457772)
122.117482,258.516723,3.713927,285.908334,285.941237,64.715004,1.566427,,module,front,-0.014054,-0.029751,0,POINT Z (122.11748157380195 258.5167231511103 3.7139265651514415)
40.706664,258.522036,3.085529,261.707233,261.731972,81.051724,1.441525,,module,front,-0.003848,-0.024438,0,POINT Z (40.70666374986068 258.52203601173005 3.085528506477417)
81.416508,188.023372,1.856476,204.89372,204.905082,66.586776,1.141132,,module,front,-0.004515,-0.010427,0,POINT Z (81.41650844927055 188.02337227866317 1.8564758480575358)
0.0,188.025122,1.555594,188.025122,188.033799,90.0,1.049979,,module,front,0.0,-0.008678,0,POINT Z (0.0000000000000115 188.02512188858523 1.555593854749932)
0.0,235.024708,2.466103,235.024708,235.042249,90.0,1.30182,,module,front,0.0,-0.017541,1,POINT Z (0.0000000000000144 235.02470788113828 2.4661034634147687)
-40.709004,164.52348,1.257471,169.485098,169.491376,103.897886,0.948926,,module,front,0.001508,-0.006094,1,POINT Z (-40.709003785917375 164.5234800596862 1.257470614483057)
40.709004,164.52348,1.257471,169.485098,169.491376,76.102114,0.948926,,module,front,-0.001508,-0.006094,1,POINT Z (40.70900378591731 164.52348005968614 1.2574706144830556)
162.799634,375.969649,7.960406,409.703427,409.810165,66.586776,2.152267,,module,front,-0.042413,-0.097949,1,POINT Z (162.79963374335 375.96964946278234 7.960405567480751)
203.487557,399.444226,9.637611,448.28883,448.432031,63.004492,2.313174,,module,front,-0.065002,-0.127598,0,POINT Z (203.4875569822957 399.4442257215902 9.637611055554949)
122.098293,399.463068,8.294849,417.706518,417.820242,73.003912,2.186664,,module,front,-0.033242,-0.108756,0,POINT Z (122.09829329467884 399.4630675072348 8.294849065301456)
