x,y,z,r,s,phi,theta,tri_spin,type,grid_pos,dx_from_flat,dy_from_flat,tri_points_up,geometry
-78.039495,182.174392,1.733409,198.185953,198.196187,113.189225,1.104981,,module,front,0.00403,-0.009407,0,POINT Z (-78.03949473450493 182.17439248213836 1.7334086968202644)
-156.075031,180.219922,2.540467,238.408547,238.426906,130.893395,1.319679,,module,front,0.012018,-0.013878,0,POINT Z (-156.07503051791483 180.21992176659435 2.5404665651137597)
-156.070919,223.319169,3.356584,272.451065,272.479223,124.948519,1.497063,,module,front,0.01613,-0.023081,1,POINT Z (-156.07091855919046 223.31916862457757 3.356583836048341)
-193.403511,158.665997,2.808122,250.159583,250.18099,140.634944,1.381382,,module,front,0.01655,-0.013578,1,POINT Z (-193.4035114275559 158.66599691383541 2.8081219133129895)
-118.747904,158.671381,1.733409,198.185953,198.196187,126.810775,1.104981,,module,front,0.006132,-0.008193,1,POINT Z (-118.74790444127625 158.67138117965237 1.7334086968202644)
0.0,360.397549,6.059669,360.397549,360.467599,90.0,1.929887,,module,front,0.0,-0.07005,1,POINT Z (0.0000000000000221 360.39754852224735 6.059669114632253)
37.324638,381.936129,6.925612,383.755567,383.84167,84.418503,2.037375,,module,front,-0.008375,-0.085695,0,POINT Z (37.32463817314032 381.9361288566445 6.925612392643619)
-37.324638,381.936129,6.925612,383.755567,383.84167,95.581497,2.037375,,module,front,0.008375,-0.085695,0,POINT Z (-37.324638173140364 381.9361288566445 6.925612392643619)
0.0,317.312981,4.626218,317.312981,317.359149,90.0,1.72274,,module,front,0.0,-0.046168,0,POINT Z (0.0000000000000194 317.3129813796553 4.626217999337796)
-78.031549,315.360752,4.862373,324.871246,324.921103,103.897886,1.759853,,module,front,0.011975,-0.048397,0,POINT Z (-78.0315493797793 315.360752277894 4.862373396938335)
-78.027732,358.44505,6.29225,366.839448,366.913696,102.280783,1.959893,,module,front,0.015793,-0.072549,1,POINT Z (-78.02773177805034 358.44505016783063 6.292249843088407)
-115.359951,293.812681,4.575074,315.648238,315.69362,111.436508,1.714514,,module,front,0.016586,-0.042243,1,POINT Z (-115.35995133214756 293.81268128514495 4.575073978152042)
-40.705425,293.818203,4.012813,296.624457,296.661528,97.887522,1.621314,,module,front,0.005087,-0.036721,1,POINT Z (-40.70542450602349 293.81820340484893 4.01281341879329)
78.011613,495.440287,12.206006,501.544504,501.749663,81.051724,2.51229,,module,front,-0.031911,-0.202662,1,POINT Z (78.01161349925115 495.4402865908065 12.206005569763974)
115.323617,516.959949,13.666345,529.666995,529.91005,77.424346,2.60483,,module,front,-0.05292,-0.237225,0,POINT Z (115.32361703730072 516.9599488996602 13.666345310418109)
40.692644,516.970172,13.082417,518.569233,518.796937,85.499316,2.569451,,module,front,-0.017868,-0.227002,0,POINT Z (40.69264364112885 516.970171913378 13.08241708515475)
78.017242,452.3821,10.134317,459.060187,459.214834,80.215093,2.35574,,module,front,-0.026282,-0.152398,0,POINT Z (78.0172420701566 452.38210041260055 10.134317189828707)
0.0,450.439057,9.735798,450.439057,450.584499,90.0,2.321758,,module,front,0.0,-0.145442,0,POINT Z (0.0000000000000276 450.439057019159 9.735798052246356)
0.0,493.498,11.800524,493.498,493.692949,90.0,2.484114,,module,front,0.0,-0.194949,1,POINT Z (0.0000000000000302 493.49799988050256 11.800524362554038)
-37.32213,428.905208,8.845339,430.525979,430.651518,94.973191,2.240674,,module,front,0.010883,-0.125066,1,POINT Z (-37.32212983084917 428.905207981277 8.845338766989782)
37.32213,428.905208,8.845339,430.525979,430.651518,85.026809,2.240674,,module,front,-0.010883,-0.125066,1,POINT Z (37.32212983084903 428.90520798127704 8.845338766989784)
-234.075209,-315.334564,7.274395,392.717571,392.810459,-126.586776,2.077619,,module,front,0.055365,0.074585,1,POINT Z (-234.075208516821 -315.3345641782102 7.274394831830918)
-196.760943,-293.800247,5.81943,353.600699,353.666504,-123.810613,1.897942,,module,front,0.036618,0.054677,0,POINT Z (-196.76094309563268 -293.8002472672605 5.8194299943075025)
-271.39666,-293.782477,7.562729,399.955361,400.05399,-132.731794,2.109694,,module,front,0.066927,0.072447,0,POINT Z (-271.3966596182904 -293.78247725990633 7.562728874006347)
-234.0632,-358.414432,8.738607,428.072992,428.19621,-123.146618,2.230446,,module,front,0.067373,0.103167,0,POINT Z (-234.06320017837916 -358.4144321450226 8.73860725373355)
-312.059816,-360.335638,10.972331,476.679243,476.853811,-130.893395,2.422943,,module,front,0.114282,0.131961,0,POINT Z (-312.05981620908165 -360.3356377831568 10.972331234891682)
-312.076034,-317.259456,9.489392,445.022487,445.162326,-134.528103,2.300054,,module,front,0.098064,0.099693,1,POINT Z (-312.07603399305475 -317.25945635096565 9.489391595865587)
-349.35434,-381.854841,13.029451,517.55345,517.779774,-132.455015,2.566137,,module,front,0.152771,0.166983,1,POINT Z (-349.354339573983 -381.8548405013479 13.029451246159786)
-274.74335,-381.885974,10.67238,470.447453,470.614806,-125.732682,2.399527,,module,front,0.097735,0.135849,1,POINT Z (-274.74334999347366 -381.88597449895076 10.672380216765045)
-156.075031,-180.219922,2.540467,238.408547,238.426906,-130.893395,1.319679,,module,front,0.012018,0.013878,1,POINT Z (-156.07503051791483 -180.21992176659435 2.5404665651137597)
-118.747904,-158.671381,1.733409,198.185953,198.196187,-126.810775,1.104981,,module,front,0.006132,0.008193,0,POINT Z (-118.74790444127625 -158.67138117965237 1.7334086968202644)
-193.403511,-158.665997,2.808122,250.159583,250.18099,-140.634944,1.381382,,module,front,0.01655,0.013578,0,POINT Z (-193.40351142755586 -158.66599691383553 2.8081219133129904)
-156.070919,-223.319169,3.356584,272.451065,272.479223,-124.948519,1.497063,,module,front,0.01613,0.023081,0,POINT Z (-156.07091855919046 -223.31916862457757 3.356583836048341)
-234.094648,-225.25768,4.862373,324.871246,324.921103,-136.102114,1.759853,,module,front,0.035925,0.034569,0,POINT Z (-234.09464813933783 -225.25768019849573 4.862373396938335)
-234.101316,-182.161033,4.012813,296.624457,296.661528,-142.112478,1.621314,,module,front,0.029257,0.022766,1,POINT Z (-234.1013159898909 -182.1610333964705 4.012813418793293)
-271.408653,-246.796523,6.29225,366.839448,366.913696,-137.719217,1.959893,,module,front,0.054933,0.049951,1,POINT Z (-271.40865341710384 -246.79652300338526 6.292249843088411)
-196.76927,-246.810989,4.575074,315.648238,315.69362,-128.563492,1.714514,,module,front,0.02829,0.035485,1,POINT Z (-196.76927028088264 -246.81098907554866 4.5750739781520435)
-78.04274,-45.057997,0.349544,90.115993,90.1169,-150.0,0.508378,,module,front,0.000785,0.000453,1,POINT Z (-78.0427395045515 -45.057996661248644 0.3495436683557183)
-40.710402,-23.504161,0.094629,47.008323,47.00845,-150.0,0.26553,,module,front,0.00011,6.4e-05,0,POINT Z (-40.71040171190099 -23.504161387183835 0.0946293658329322)
-115.374533,-23.503817,0.599632,117.744266,117.746312,-168.485407,0.662942,,module,front,0.002004,0.000408,0,POINT Z (-115.37453292579994 -23.503816631262637 0.5996322790314637)
-78.042169,-88.165368,0.599632,117.744266,117.746312,-131.514593,0.662942,,module,front,0.001356,0.001532,0,POINT Z (-78.04216875146467 -88.16536814787557 0.5996322790314639)
-156.080465,-90.113099,1.426073,180.226198,180.233799,-150.0,1.007576,,module,front,0.006583,0.003801,0,POINT Z (-156.08046547212635 -90.11309875557421 1.4260733935332988)
-156.081722,-47.006846,1.1612,163.006588,163.012151,-163.239371,0.913419,,module,front,0.005327,0.001604,1,POINT Z (-156.08172237179704 -47.006845668285244 1.1611999853396686)
-193.407144,-111.663667,2.218286,223.327333,223.342249,-150.0,1.239784,,module,front,0.012918,0.007458,1,POINT Z (-193.40714409423416 -111.66366670600281 2.2182859162437647)
-118.749984,-111.667314,1.1612,163.006588,163.012151,-136.760629,0.913419,,module,front,0.004053,0.003811,1,POINT Z (-118.74998368640807 -111.66731380626356 1.161199985339669)
0.0,90.115993,0.349544,90.115993,90.1169,90.0,0.508378,,module,front,0.0,-0.000906,1,POINT Z (0.0000000000000055 90.1159933224973 0.3495436683557183)
37.332364,111.669185,0.599632,117.744266,117.746312,71.514593,0.662942,,module,front,-0.000649,-0.00194,0,POINT Z (37.33236417433529 111.66918477913823 0.5996322790314635)
-37.332364,111.669185,0.599632,117.744266,117.746312,108.485407,0.662942,,module,front,0.000649,-0.00194,0,POINT Z (-37.332364174335275 111.66918477913825 0.5996322790314637)
-0.0,47.008323,0.094629,47.008323,47.00845,90.0,0.26553,,module,front,0.0,-0.000127,0,POINT Z (-0.0000000000000076 47.00832277436768 0.0946293658329322)
-78.04274,45.057997,0.349544,90.115993,90.1169,150.0,0.508378,,module,front,0.000785,-0.000453,0,POINT Z (-78.0427395045515 45.057996661248644 0.3495436683557183)
-78.042169,88.165368,0.599632,117.744266,117.746312,131.514593,0.662942,,module,front,0.001356,-0.001532,1,POINT Z (-78.04216875146467 88.16536814787557 0.5996322790314639)
-115.374533,23.503817,0.599632,117.744266,117.746312,168.485407,0.662942,,module,front,0.002004,-0.000408,1,POINT Z (-115.37453292579994 23.503816631262637 0.5996322790314637)
-40.710402,23.504161,0.094629,47.008323,47.00845,150.0,0.26553,,module,front,0.00011,-6.4e-05,1,POINT Z (-40.71040171190101 23.504161387183817 0.0946293658329322)
78.037515,225.274902,2.540467,238.408547,238.426906,70.893395,1.319679,,module,front,-0.006009,-0.017347,1,POINT Z (78.03751525895738 225.2749022082429 2.540466565113758)
115.364614,246.820965,3.356584,272.451065,272.479223,64.948519,1.497063,,module,front,-0.011923,-0.02551,0,POINT Z (115.36461390130971 246.82096457651994 3.356583836048341)
40.707028,246.825353,2.808122,250.159583,250.18099,80.634944,1.381382,,module,front,-0.003483,-0.021122,0,POINT Z (40.70702833038695 246.8253525342951 2.8081219133129895)
78.039495,182.174392,1.733409,198.185953,198.196187,66.810775,1.104981,,module,front,-0.00403,-0.009407,0,POINT Z (78.03949473450486 182.17439248213836 1.733408696820264)
0.0,180.226198,1.426073,180.226198,180.233799,90.0,1.007576,,module,front,0.0,-0.007602,0,POINT Z (0.000000000000011 180.22619751114846 1.4260733935332988)
0.0,223.327333,2.218286,223.327333,223.342249,90.0,1.239784,,module,front,0.0,-0.014916,1,POINT Z (0.0000000000000137 223.32733341200566 2.218285916243765)
-37.331739,158.674159,1.1612,163.006588,163.012151,103.239371,0.913419,,module,front,0.001274,-0.005415,1,POINT Z (-37.33173868538902 158.6741594745488 1.1611999853396686)
37.331739,158.674159,1.1612,163.006588,163.012151,76.760629,0.913419,,module,front,-0.001274,-0.005415,1,POINT Z (37.331738685388984 158.67415947454876 1.1611999853396682)
156.050139,360.382359,7.274395,392.717571,392.810459,66.586776,2.077619,,module,front,-0.03691,-0.08524,1,POINT Z (156.05013901121401 360.38235906081167 7.274394831830918)
193.364403,381.911894,8.738607,428.072992,428.19621,63.146618,2.230446,,module,front,-0.055658,-0.10993,0,POINT Z (193.3644032313741 381.91189351807026 8.738607253733562)
118.724759,381.92764,7.562729,399.955361,400.05399,72.731794,2.109694,,module,front,-0.029278,-0.094184,0,POINT Z (118.72475868465789 381.92764036163095 7.5627288740063445)
