#   WAVELENGTH        FLUX
#------------- -----------
     3602.000     0.90522
     3602.100     0.90597
     3602.200     0.90671
     3602.300     0.90746
     3602.400     0.90821
     3602.500     0.90895
     3602.600     0.90970
     3602.700     0.91045
     3602.800     0.91119
     3602.900     0.91167
     3603.000     0.91216
     3603.100     0.91265
     3603.200     0.91313
     3603.300     0.91362
     3603.400     0.91410
     3603.500     0.91459
     3603.600     0.91507
     3603.700     0.91581
     3603.800     0.91665
     3603.900     0.91749
     3604.000     0.91832
     3604.100     0.91916
     3604.200     0.92000
     3604.300     0.92083
     3604.400     0.92167
     3604.500     0.92202
     3604.600     0.92168
     3604.700     0.92134
     3604.800     0.92100
     3604.900     0.92067
     3605.000     0.92033
     3605.100     0.91999
     3605.200     0.91965
     3605.300     0.91925
     3605.400     0.91837
     3605.500     0.91750
     3605.600     0.91662
     3605.700     0.91574
     3605.800     0.91486
     3605.900     0.91398
     3606.000     0.91310
     3606.100     0.91222
     3606.200     0.91165
     3606.300     0.91115
     3606.400     0.91066
     3606.500     0.91016
     3606.600     0.90966
     3606.700     0.90916
     3606.800     0.90867
     3606.900     0.90817
     3607.000     0.90801
     3607.100     0.90818
     3607.200     0.90835
     3607.300     0.90852
     3607.400     0.90869
     3607.500     0.90886
     3607.600     0.90903
     3607.700     0.90920
     3607.800     0.90928
     3607.900     0.90899
     3608.000     0.90870
     3608.100     0.90842
     3608.200     0.90813
     3608.300     0.90784
     3608.400     0.90756
     3608.500     0.90727
     3608.600     0.90698
     3608.700     0.90717
     3608.800     0.90741
     3608.900     0.90766
     3609.000     0.90790
     3609.100     0.90814
     3609.200     0.90838
     3609.300     0.90863
     3609.400     0.90887
     3609.500     0.90890
     3609.600     0.90877
     3609.700     0.90865
     3609.800     0.90852
     3609.900     0.90840
     3610.000     0.90827
     3610.100     0.90815
     3610.200     0.90802
     3610.300     0.90789
     3610.400     0.90774
     3610.500     0.90760
     3610.600     0.90745
     3610.700     0.90730
     3610.800     0.90715
     3610.900     0.90700
     3611.000     0.90686
     3611.100     0.90671
     3611.200     0.90665
     3611.300     0.90659
     3611.400     0.90653
     3611.500     0.90647
     3611.600     0.90642
     3611.700     0.90636
     3611.800     0.90630
     3611.900     0.90624
     3612.000     0.90647
     3612.100     0.90686
     3612.200     0.90725
     3612.300     0.90765
     3612.400     0.90804
     3612.500     0.90843
     3612.600     0.90882
     3612.700     0.90921
     3612.800     0.90945
     3612.900     0.90937
     3613.000     0.90930
     3613.100     0.90922
     3613.200     0.90915
     3613.300     0.90907
     3613.400     0.90900
     3613.500     0.90892
     3613.600     0.90885
     3613.700     0.90895
     3613.800     0.90905
     3613.900     0.90915
     3614.000     0.90925
     3614.100     0.90935
     3614.200     0.90945
     3614.300     0.90955
     3614.400     0.90965
     3614.500     0.90930
     3614.600     0.90876
     3614.700     0.90821
     3614.800     0.90766
     3614.900     0.90711
     3615.000     0.90657
     3615.100     0.90602
     3615.200     0.90547
     3615.300     0.90530
     3615.400     0.90580
     3615.500     0.90630
     3615.600     0.90680
     3615.700     0.90729
     3615.800     0.90779
     3615.900     0.90829
     3616.000     0.90879
     3616.100     0.90928
